epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
41,73.9987,0.6451,0.60314,0.93815,0.83123,0.74017,0.83911,0.60964,1.17275,1.38502,1.52732,0.000572628,0.000572628,0.000572628
42,75.6711,0.69178,0.5825,0.97842,0.72575,0.81372,0.85939,0.62884,1.1887,1.51993,1.53611,0.000569094,0.000569094,0.000569094
43,77.5186,0.68236,0.5976,0.95781,0.74042,0.82044,0.88587,0.63343,1.15709,1.37486,1.50021,0.000565559,0.000565559,0.000565559
44,79.5657,0.68238,0.5686,0.97863,0.7596,0.75192,0.86149,0.62557,1.18308,1.39476,1.4982,0.000562025,0.000562025,0.000562025
45,81.2424,0.76181,0.61241,0.95448,0.7596,0.75192,0.86149,0.62557,1.18308,1.39476,1.4982,0.000558491,0.000558491,0.000558491
46,82.857,0.71515,0.60907,0.975,0.90347,0.71556,0.83804,0.59378,1.26211,1.35305,1.55171,0.000554956,0.000554956,0.000554956
47,84.5231,0.64203,0.57043,0.92759,0.85569,0.71944,0.84807,0.61095,1.18885,1.1655,1.47207,0.000551422,0.000551422,0.000551422
48,86.2324,0.66722,0.57034,0.95537,0.75477,0.70489,0.81906,0.62168,1.0519,1.16037,1.38962,0.000547888,0.000547888,0.000547888
49,87.9091,0.65431,0.5478,0.97778,0.75477,0.70489,0.81906,0.62168,1.0519,1.16037,1.38962,0.000544354,0.000544354,0.000544354
50,89.5459,0.63788,0.52405,0.93221,0.70334,0.71613,0.78438,0.59263,1.13216,1.29648,1.45604,0.000540819,0.000540819,0.000540819
51,91.2715,0.66554,0.51979,0.91104,0.74621,0.7367,0.80172,0.57313,1.22583,1.3747,1.51969,0.000537285,0.000537285,0.000537285
52,92.9314,0.65237,0.49646,0.95129,0.73117,0.74891,0.76774,0.56673,1.22116,1.35783,1.50388,0.000533751,0.000533751,0.000533751
53,94.5681,0.63263,0.50676,0.92498,0.73117,0.74891,0.76774,0.56673,1.22116,1.35783,1.50388,0.000530216,0.000530216,0.000530216
54,96.3159,0.64975,0.50377,0.98188,0.67453,0.74444,0.78422,0.60876,1.11857,1.35761,1.42475,0.000526682,0.000526682,0.000526682
55,97.996,0.61998,0.50629,0.93726,0.70275,0.74677,0.80631,0.60679,1.12805,1.3186,1.42641,0.000523148,0.000523148,0.000523148
56,99.6152,0.62702,0.48824,0.94091,0.64265,0.81497,0.79249,0.59013,1.1768,1.37485,1.47164,0.000519613,0.000519613,0.000519613
57,101.253,0.64149,0.53615,0.94803,0.64265,0.81497,0.79249,0.59013,1.1768,1.37485,1.47164,0.000516079,0.000516079,0.000516079
58,102.919,0.59887,0.4933,0.94322,0.69496,0.75027,0.76708,0.55662,1.22423,1.43363,1.5097,0.000512545,0.000512545,0.000512545
