epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
178,306.358,0.33477,0.27894,0.86967,0.76703,0.82166,0.83024,0.60395,1.25602,1.15018,1.58785,8.84289e-05,8.84289e-05,8.84289e-05
179,308.069,0.35826,0.27281,0.83991,0.77166,0.82056,0.82919,0.60099,1.27199,1.13706,1.61058,8.48946e-05,8.48946e-05,8.48946e-05
180,309.758,0.32444,0.26577,0.83394,0.77481,0.82041,0.82999,0.60049,1.28323,1.13108,1.62876,8.13603e-05,8.13603e-05,8.13603e-05
181,311.449,0.33133,0.27975,0.8358,0.77481,0.82041,0.82999,0.60049,1.28323,1.13108,1.62876,7.7826e-05,7.7826e-05,7.7826e-05
182,313.146,0.34573,0.3134,0.86223,0.7758,0.82106,0.83372,0.60028,1.28859,1.10825,1.62993,7.42917e-05,7.42917e-05,7.42917e-05
183,314.83,0.33716,0.271,0.8604,0.77772,0.82108,0.83518,0.60207,1.28453,1.09467,1.62191,7.07574e-05,7.07574e-05,7.07574e-05
184,316.477,0.34679,0.29109,0.87023,0.77884,0.82128,0.84028,0.60162,1.27214,1.08269,1.60682,6.72231e-05,6.72231e-05,6.72231e-05
185,318.072,0.32964,0.26849,0.85079,0.77884,0.82128,0.84028,0.60162,1.27214,1.08269,1.60682,6.36888e-05,6.36888e-05,6.36888e-05
186,319.711,0.33261,0.26944,0.8298,0.77925,0.82103,0.84059,0.60216,1.26595,1.0793,1.60269,6.01545e-05,6.01545e-05,6.01545e-05
187,321.341,0.35207,0.27122,0.83074,0.77954,0.82083,0.84059,0.61522,1.25641,1.08497,1.5951,5.66202e-05,5.66202e-05,5.66202e-05
188,323.028,0.33997,0.25833,0.84145,0.77898,0.82155,0.84028,0.61534,1.24816,1.1152,1.5879,5.30859e-05,5.30859e-05,5.30859e-05
189,324.717,0.35169,0.27015,0.85127,0.77898,0.82155,0.84028,0.61534,1.24816,1.1152,1.5879,4.95516e-05,4.95516e-05,4.95516e-05
190,326.42,0.33433,0.25904,0.83332,0.77841,0.82136,0.8349,0.6011,1.24764,1.13615,1.58662,4.60173e-05,4.60173e-05,4.60173e-05
191,328.943,0.33682,0.25443,0.83567,0.77693,0.82406,0.83462,0.60346,1.24365,1.15806,1.59088,4.2483e-05,4.2483e-05,4.2483e-05
192,330.642,0.32218,0.2402,0.82051,0.77438,0.82962,0.83462,0.60692,1.24629,1.14363,1.59666,3.89487e-05,3.89487e-05,3.89487e-05
193,332.226,0.31506,0.23576,0.8232,0.77438,0.82962,0.83462,0.60692,1.24629,1.14363,1.59666,3.54144e-05,3.54144e-05,3.54144e-05
194,333.935,0.29835,0.23184,0.82246,0.77715,0.83561,0.83462,0.60296,1.24892,1.14326,1.60064,3.18801e-05,3.18801e-05,3.18801e-05
195,335.575,0.30065,0.22773,0.8339,0.77849,0.83611,0.83414,0.60208,1.24321,1.13686,1.5954,2.83458e-05,2.83458e-05,2.83458e-05
196,337.337,0.27713,0.22928,0.80924,0.77927,0.83537,0.83414,0.61037,1.24591,1.14048,1.59947,2.48115e-05,2.48115e-05,2.48115e-05
197,339,0.31198,0.24033,0.824,0.77927,0.83537,0.83414,0.61037,1.24591,1.14048,1.59947,2.12772e-05,2.12772e-05,2.12772e-05
198,340.688,0.25513,0.21434,0.77679,0.77726,0.83162,0.83414,0.61152,1.25379,1.1291,1.60267,1.77429e-05,1.77429e-05,1.77429e-05
199,342.343,0.30145,0.22894,0.8546,0.77584,0.83129,0.83414,0.59923,1.2631,1.1293,1.61105,1.42086e-05,1.42086e-05,1.42086e-05
200,343.98,0.27051,0.21095,0.79612,0.77413,0.83087,0.83375,0.59542,1.26854,1.1359,1.61591,1.06743e-05,1.06743e-05,1.06743e-05
